Applicant ID,Name,Education,Work Experience (Years),Skills,Certifications,Resume Keywords,Job Title,Required Skills,Experience Level Required,Industry Terms,Interview Score,Hiring Decision,Recruiter Notes
3977,Chris Lee,PhD,15,"Leadership, SQL, Machine Learning","Certified Data Scientist, PMP","Excel, Six Sigma Green Belt, PMP, Project Management, Big Data",Project Manager,"Java, Python",Senior-level,DevOps,7,Hired,Needs more experience
6258,Chris Lee,Master's,11,"Project Management, Machine Learning, Java, Leadership, SQL",,"Machine Learning, PMP, Agile",Project Manager,"SQL, Python",Mid-level,Big Data,2,Hired,Good fit for the team
6907,John Doe,Bachelor's,6,"Data Analysis, Machine Learning, Java, Leadership",PMP,"PMP, Python, Certified Data Scientist, Leadership, Big Data",Project Manager,"SQL, Project Management, Machine Learning, Python",Mid-level,Big Data,4,Not Hired,Excellent technical skills
2041,Michael Brown,Bachelor's,15,"Leadership, SQL","Six Sigma Green Belt, Certified Data Scientist","Agile, AWS Certified, Project Management, PMP, SQL, Java",Project Manager,"SQL, Machine Learning, Python",Senior-level,DevOps,1,Hired,Good fit for the team
5648,Michael Brown,PhD,19,"Excel, Data Analysis, Machine Learning, Java",,"Python, SQL, Cloud Computing",Business Analyst,"SQL, Project Management",Senior-level,Cloud Computing,3,Hired,Excellent technical skills
6766,Jane Smith,PhD,2,"Machine Learning, Project Management, SQL, Java",,"DevOps, Certified Data Scientist, AWS Certified",Project Manager,"SQL, Java, Python, Project Management",Mid-level,DevOps,1,Hired,Good fit for the team
5854,Jane Smith,Master's,17,"Data Analysis, Python, Leadership",PMP,"Python, Machine Learning, Six Sigma Green Belt, PMP, DevOps, Java",Software Engineer,"Machine Learning, SQL",Mid-level,Cloud Computing,6,Not Hired,Strong candidate
2271,John Doe,Master's,13,"Python, Machine Learning",,"Python, Leadership, Excel, Machine Learning, Java, Cloud Computing",Project Manager,"SQL, Python, Java",Entry-level,Big Data,9,Not Hired,Strong candidate
6334,Chris Lee,Bachelor's,12,"Python, SQL, Java, Data Analysis, Machine Learning","AWS Certified, Certified Data Scientist","SQL, Six Sigma Green Belt, Java, PMP, Data Analysis, Agile",Data Scientist,"Machine Learning, SQL, Python, Java",Entry-level,DevOps,3,Not Hired,Excellent technical skills
9862,Chris Lee,PhD,4,"Excel, Data Analysis, SQL, Project Management",,"Agile, SQL, Project Management, Leadership, Certified Data Scientist",Software Engineer,"Project Management, Java, Python, SQL",Senior-level,Cloud Computing,9,Not Hired,Excellent technical skills
5818,Jane Smith,PhD,2,"Java, Leadership",Six Sigma Green Belt,"Data Analysis, Certified Data Scientist, Project Management",Data Scientist,"Python, Machine Learning, Java",Mid-level,Cloud Computing,6,Hired,Excellent technical skills
2550,Sarah Johnson,PhD,5,"Machine Learning, Python",,"SQL, Project Management, Certified Data Scientist",Software Engineer,"Java, Project Management",Mid-level,Big Data,1,Hired,Good fit for the team
4504,Emily Davis,Bachelor's,15,"Leadership, Project Management, Data Analysis, SQL",Certified Data Scientist,"Big Data, SQL, Certified Data Scientist, Cloud Computing",Business Analyst,"SQL, Java, Project Management, Machine Learning",Entry-level,DevOps,6,Not Hired,Excellent technical skills
5428,John Doe,PhD,10,"Leadership, Excel, Machine Learning",,"Excel, Python, Big Data, Machine Learning, Java, Project Management",Software Engineer,"Project Management, Java, SQL",Entry-level,Cloud Computing,4,Hired,Needs more experience
1486,Emily Davis,PhD,17,"Project Management, Excel, Machine Learning, Python",,"SQL, PMP, Java",Project Manager,"Java, Machine Learning, Python, SQL",Mid-level,DevOps,1,Hired,Needs more experience
2104,Emily Davis,Master's,7,"Project Management, Machine Learning, Data Analysis, Excel","Six Sigma Green Belt, Certified Data Scientist","Machine Learning, Python, Six Sigma Green Belt, Leadership, Big Data",Business Analyst,"Project Management, Python, SQL, Machine Learning",Senior-level,Cloud Computing,2,Not Hired,Good fit for the team
3995,Emily Davis,Master's,17,"Leadership, Python","AWS Certified, Six Sigma Green Belt","Six Sigma Green Belt, Project Management, Certified Data Scientist, Leadership, Machine Learning, Excel",Business Analyst,"Python, Machine Learning, Java, SQL",Senior-level,DevOps,10,Hired,Good fit for the team
